,편의점 명,상품 명,분류,개당 가격,행사 유형,이미지
46,MINISTOP(미니스톱),농심)신라면블랙용기,식품,1067,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_44.jpg
47,MINISTOP(미니스톱),농심)쌀국수용기,식품,1000,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_45.jpg
48,MINISTOP(미니스톱),농심)츄파춥스사워게코,과자류,900,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_83.jpg
49,MINISTOP(미니스톱),뉴)온더바디썬크림,생활용품,5950,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_60.jpg
50,MINISTOP(미니스톱),뉴)프링글양파대,과자류,2333,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_137.jpg
51,MINISTOP(미니스톱),뉴토닉워터펫,음료,800,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_309.jpg
52,MINISTOP(미니스톱),다우니세제상쾌한향2L,생활용품,14750,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_55.jpg
53,MINISTOP(미니스톱),다우니퍼퓸섬유유연제,생활용품,4950,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_54.jpg
54,MINISTOP(미니스톱),닥터라임대왕칫솔,생활용품,1450,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_31.jpg
55,MINISTOP(미니스톱),담터)생강차플러스8T,음료,1667,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_173.jpg
56,MINISTOP(미니스톱),대림)스노우크랩킹140g,식품,2067,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_32.jpg
57,MINISTOP(미니스톱),데일리C레몬워터500펫,음료,1133,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_260.jpg
58,MINISTOP(미니스톱),데자와밀크티250캔,음료,650,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_138.jpg
59,MINISTOP(미니스톱),데자와밀크티500펫,음료,1000,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_139.jpg
60,MINISTOP(미니스톱),덴)커핑로드에스프레소,음료,1667,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_194.jpg
61,MINISTOP(미니스톱),덴마크어라이브(망고),음료,1000,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_193.jpg
62,MINISTOP(미니스톱),델몬트사과180ml,음료,800,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_247.jpg
63,MINISTOP(미니스톱),도라에몽팝핑롤리팝,과자류,750,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_93.jpg
64,MINISTOP(미니스톱),도브헤이즐넛1500,과자류,1000,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_111.jpg
65,MINISTOP(미니스톱),돌)파인애플컵,식품,1600,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_11.jpg
