,편의점 명,상품 명,분류,개당 가격,행사 유형,이미지
292,CU(씨유),매일)아몬드브리즈190ml,음료,667,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/92C47F364FFB4447A1107F8A5F4736A1.jpg
293,CU(씨유),매일)아몬드브리즈바나나190ml,음료,800,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/BC306EE260CA4604887567D6404F0DAC.jpg
294,CU(씨유),매일)아몬드브리즈초콜릿190ml,음료,800,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/5F7692E4700B4C2B8493C235F8B3ACC4.jpg
295,CU(씨유),매일)엔요100ml,음료,333,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801121772416.jpg
296,CU(씨유),매일)우유속딸기,음료,1000,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801121103388.jpg
297,CU(씨유),매일)우유속망고패션후르츠,음료,1000,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801121023853.jpg
298,CU(씨유),매일)우유속코코아310ml,음료,1000,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/0FE308BC764A4737922D06DFC47C5C9B.jpg
299,CU(씨유),매일)카페라떼말차아몬드,음료,1067,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801121025857.jpg
300,CU(씨유),매일)커피속흑당카페돌체,음료,1000,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801121767450.jpg
301,CU(씨유),매일)페레로누텔라앤고,과자류,1467,2+1,http://bgf-cu.xcache.kinxcdn.com/product/0009800800056.jpg
302,CU(씨유),먼지몬지)위생마스크5입,생활용품,1667,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8809449730460.jpg
303,CU(씨유),먼지몬지)황사마스크10매,생활용품,9950,1+1,http://bgf-cu.xcache.kinxcdn.com/product/8809449730538.jpg
304,CU(씨유),메디안)치석케어치약,생활용품,2250,1+1,http://cdn2.bgfretail.com/bgfbrand/files/product/E325E3F44D504CA89B9F4F711597DAE9.jpg
